PROVINCE_CODE,PROVINCE_NAME,FBB_QOS_RATIO,RANK,TIME
HGG,Hà Giang,94.2871,61,2025-07-16 08:00:00
HGI,Hậu Giang,95.3405,34,2025-07-16 08:00:00
HNI,Hà Nội,95.6506,21,2025-07-16 08:00:00
HNM,Hà Nam,94.9406,48,2025-07-16 08:00:00
HPG,Hải Phòng,95.6435,22,2025-07-16 08:00:00
HTH,Hà Tĩnh,94.884,51,2025-07-16 08:00:00
HUE,Thừa Thiên Huế,95.0405,44,2025-07-16 08:00:00
HYN,Hưng Yên,95.0013,46,2025-07-16 08:00:00
KGG,Kiên Giang,96.4112,14,2025-07-16 08:00:00
KHA,Khánh Hòa,95.4681,29,2025-07-16 08:00:00
KTM,Kon Tum,95.3496,33,2025-07-16 08:00:00
LAN,Long An,99.4329,1,2025-07-16 08:00:00
LCI,Lào Cai,95.3803,32,2025-07-16 08:00:00
LCU,Lai Châu,97.764,4,2025-07-16 08:00:00
LDG,Lâm Đồng,96.5842,10,2025-07-16 08:00:00
LSN,Lạng Sơn,94.6483,55,2025-07-16 08:00:00
NAN,Nghệ An,95.1039,41,2025-07-16 08:00:00
NBH,Ninh Bình,94.8604,53,2025-07-16 08:00:00
NDH,Nam Định,96.4144,13,2025-07-16 08:00:00
NTN,Ninh Thuận,94.7635,54,2025-07-16 08:00:00
PTO,Phú Thọ,93.5809,63,2025-07-16 08:00:00
PYN,Phú Yên,95.5208,25,2025-07-16 08:00:00
QBH,Quảng Bình,95.5155,26,2025-07-16 08:00:00
QNH,Quảng Ninh,94.8891,50,2025-07-16 08:00:00
QNI,Quảng Ngãi,94.8824,52,2025-07-16 08:00:00
QNM,Quảng Nam,95.527,24,2025-07-16 08:00:00
QTI,Quảng Trị,98.9922,2,2025-07-16 08:00:00
SLA,Sơn La,94.8922,49,2025-07-16 08:00:00
STG,Sóc Trăng,95.4307,30,2025-07-16 08:00:00
TBH,Thái Bình,93.7615,62,2025-07-16 08:00:00
TGG,Tiền Giang,95.6872,20,2025-07-16 08:00:00
THA,Thanh Hóa,97.1197,7,2025-07-16 08:00:00
TNH,Tây Ninh,95.4088,31,2025-07-16 08:00:00
TNN,Thái Nguyên,95.2041,38,2025-07-16 08:00:00
TQG,Tuyên Quang,94.3506,60,2025-07-16 08:00:00
TVH,Trà Vinh,94.5452,56,2025-07-16 08:00:00
VLG,Vĩnh Long,95.8114,19,2025-07-16 08:00:00
VPC,Vĩnh Phúc,95.0016,45,2025-07-16 08:00:00
VTU,Vũng Tàu,95.4884,28,2025-07-16 08:00:00
YBI,Yên Bái,94.4531,59,2025-07-16 08:00:00
